Nafn;Kennitala;Póstfang;Maki;Kennitala maka
Ivory Y. Reese;16410524 3424;1082 Felis. St.;Samson Raymond;16550904 -2627
Bruce Q. Wiggins;16180315 9456;Ap #232-8701 Rutrum, St.;Paula L. Moreno;16230713 4177
Stacey O. Patrick;16811207 4540;Ap #857-8375 Et, Av.;Ocean N. Gay;16260316 4134
Paula L. Moreno;16230713 4177;Ap #232-8701 Rutrum, St.;Bruce Q. Wiggins;16180315 9456
Caleb O. Mccarthy;16430117 1502;377-8970 Vitae Rd.;Hermione W. Mcfarland;16420807 6325
Allegra E. Sandoval;16990611 6315;P.O. Box 641, 4574 Erat, Rd.;Seth Tyler;16300103 -5603
Vielka L. Hernandez;16670807 7158;P.O. Box 157, 6293 Vulputate, Street;Joseph Gordon;16121009 -7240
Aiko H. Johnson;16010510 5340;638-2380 Turpis Road;Keefe Hoffman;16841121 -3088
Hedley G. Calderon;16520317 7315;726-7435 Mauris St.;Bernard Wise;16761222 -6188
Zenia B. Albert;16110609 3303;1146 Semper St.;Daniel Vinson;16570222 -4360
Ocean N. Gray;16260316 4134;715-8487 Odio Rd.;Stacey O. Patrick;16811207 4540
Whilemina D. Cruz;16871006 5395;161-1241 Mollis Rd.;Michael Bolton;16420803 -8952
Inez Q. Pope;16290406 6798;Ap #641-1757 Ut Av.;Nigela Mcmillan;16370111 -2892
Pamela D. Chang;16970915 3028;2339 Lorem Av.;Rashad Kane;16080502 -7091
Guinevere R. Farrell;16900820 0892;769-7373 Vitae, St.;Xavier Madden;16890718 -5055
Kaitlin J. May;16601226 4005;P.O. Box 383, 5321 Donec Street;Elliott Burch;16980208 -6752
Pascale B. Hull;16860303 4250;Ap #245-4878 Et Avenue;Raja Avery;16410530 -4911
Hermione W. Mcfarland;16420807 6325;377-8970 Vitae Rd.;Calab O. Mccarthy;16430117 1502
Lani O. Ward;16720117 5770;P.O. Box 597, 7147 Euismod Av.;Norman Mccarty;16361127 -6795
